Release1.0
World size: 15x15
Chunks: 225

World Load Time: 5.95108s

Chunk 0 Load: 3.4667ms
Chunk 0 Render: 915.2831ms
Chunk 1 Load: 0.4089ms
Chunk 1 Render: 953.2202ms
Chunk 2 Load: 0.6826ms
Chunk 2 Render: 985.1238ms
Chunk 3 Load: 1.0011ms
Chunk 3 Render: 1018.161ms
Chunk 4 Load: 0.443ms
Chunk 4 Render: 1050.514ms
Chunk 5 Load: 0.5752ms
Chunk 5 Render: 1078.32ms
Chunk 6 Load: 0.4341ms
Chunk 6 Render: 1102.298ms
Chunk 7 Load: 0.7327ms
Chunk 7 Render: 1125.091ms
Chunk 8 Load: 0.4388ms
Chunk 8 Render: 1156.554ms
Chunk 9 Load: 0.4247ms
Chunk 9 Render: 1191.056ms
Chunk 10 Load: 0.4344ms
Chunk 10 Render: 1222.407ms
Chunk 11 Load: 0.4207ms
Chunk 11 Render: 1248.975ms
Chunk 12 Load: 0.6867ms
Chunk 12 Render: 1276.324ms
Chunk 13 Load: 0.4216ms
Chunk 13 Render: 1302.322ms
Chunk 14 Load: 0.3918ms
Chunk 14 Render: 446.2458ms
Chunk 15 Load: 0.4096ms
Chunk 15 Render: 1357.426ms
Chunk 16 Load: 0.4326ms
Chunk 16 Render: 1381.874ms
Chunk 17 Load: 0.4237ms
Chunk 17 Render: 1405.574ms
Chunk 18 Load: 0.3869ms
Chunk 18 Render: 1430.332ms
Chunk 19 Load: 0.3859ms
Chunk 19 Render: 1455.227ms
Chunk 20 Load: 0.412ms
Chunk 20 Render: 1480.319ms
Chunk 21 Load: 0.5413ms
Chunk 21 Render: 1503.025ms
Chunk 22 Load: 0.4385ms
Chunk 22 Render: 1521.986ms
Chunk 23 Load: 0.4441ms
Chunk 23 Render: 1547.688ms
Chunk 24 Load: 0.4102ms
Chunk 24 Render: 1578.247ms
Chunk 25 Load: 0.4092ms
Chunk 25 Render: 1604.132ms
Chunk 26 Load: 0.4058ms
Chunk 26 Render: 1624.874ms
Chunk 27 Load: 0.3827ms
Chunk 27 Render: 1647.245ms
Chunk 28 Load: 0.4185ms
Chunk 28 Render: 1670.845ms
Chunk 29 Load: 0.4336ms
Chunk 29 Render: 386.5426ms
Chunk 30 Load: 0.4147ms
Chunk 30 Render: 1719.588ms
Chunk 31 Load: 0.4095ms
Chunk 31 Render: 1741.526ms
Chunk 32 Load: 0.414ms
Chunk 32 Render: 1764.666ms
Chunk 33 Load: 0.3986ms
Chunk 33 Render: 1788.171ms
Chunk 34 Load: 0.4323ms
Chunk 34 Render: 1814.261ms
Chunk 35 Load: 0.4222ms
Chunk 35 Render: 1838.281ms
Chunk 36 Load: 0.4125ms
Chunk 36 Render: 1860.809ms
Chunk 37 Load: 0.4147ms
Chunk 37 Render: 1879.724ms
Chunk 38 Load: 0.426ms
Chunk 38 Render: 1901.751ms
Chunk 39 Load: 0.4031ms
Chunk 39 Render: 1931.905ms
Chunk 40 Load: 0.4201ms
Chunk 40 Render: 1959.995ms
Chunk 41 Load: 0.4348ms
Chunk 41 Render: 1985.063ms
Chunk 42 Load: 0.4164ms
Chunk 42 Render: 2010.853ms
Chunk 43 Load: 0.4161ms
Chunk 43 Render: 2035.374ms
Chunk 44 Load: 0.4076ms
Chunk 44 Render: 386.2686ms
Chunk 45 Load: 0.4366ms
Chunk 45 Render: 2080.922ms
Chunk 46 Load: 0.4134ms
Chunk 46 Render: 2107.687ms
Chunk 47 Load: 0.4346ms
Chunk 47 Render: 2131.767ms
Chunk 48 Load: 0.426ms
Chunk 48 Render: 2153.538ms
Chunk 49 Load: 0.4148ms
Chunk 49 Render: 2176.424ms
Chunk 50 Load: 0.4041ms
Chunk 50 Render: 2196.795ms
Chunk 51 Load: 0.4469ms
Chunk 51 Render: 2220.013ms
Chunk 52 Load: 0.434ms
Chunk 52 Render: 2241.493ms
Chunk 53 Load: 0.4431ms
Chunk 53 Render: 2262.281ms
Chunk 54 Load: 0.4211ms
Chunk 54 Render: 2287.709ms
Chunk 55 Load: 0.462ms
Chunk 55 Render: 2311.442ms
Chunk 56 Load: 0.4183ms
Chunk 56 Render: 2333.561ms
Chunk 57 Load: 0.4081ms
Chunk 57 Render: 2360.042ms
Chunk 58 Load: 0.4237ms
Chunk 58 Render: 2388.243ms
Chunk 59 Load: 0.4391ms
Chunk 59 Render: 382.4808ms
Chunk 60 Load: 0.4166ms
Chunk 60 Render: 2440.157ms
Chunk 61 Load: 0.4517ms
Chunk 61 Render: 2468.268ms
Chunk 62 Load: 0.4657ms
Chunk 62 Render: 2493.033ms
Chunk 63 Load: 0.4323ms
Chunk 63 Render: 2514.709ms
Chunk 64 Load: 0.4174ms
Chunk 64 Render: 2537.186ms
Chunk 65 Load: 0.4389ms
Chunk 65 Render: 2560.523ms
Chunk 66 Load: 0.4303ms
Chunk 66 Render: 2588.387ms
Chunk 67 Load: 0.4199ms
Chunk 67 Render: 2620.184ms
Chunk 68 Load: 0.4187ms
Chunk 68 Render: 2644.66ms
Chunk 69 Load: 0.4576ms
Chunk 69 Render: 2667.663ms
Chunk 70 Load: 0.4285ms
Chunk 70 Render: 2687.5ms
Chunk 71 Load: 0.4195ms
Chunk 71 Render: 2704.528ms
Chunk 72 Load: 0.4419ms
Chunk 72 Render: 2728.221ms
Chunk 73 Load: 0.4163ms
Chunk 73 Render: 2756.354ms
Chunk 74 Load: 0.4276ms
Chunk 74 Render: 392.215ms
Chunk 75 Load: 0.4825ms
Chunk 75 Render: 2801.866ms
Chunk 76 Load: 0.4275ms
Chunk 76 Render: 2834.346ms
Chunk 77 Load: 0.4415ms
Chunk 77 Render: 2861.272ms
Chunk 78 Load: 0.4337ms
Chunk 78 Render: 2882.293ms
Chunk 79 Load: 0.4339ms
Chunk 79 Render: 2902.596ms
Chunk 80 Load: 0.4473ms
Chunk 80 Render: 2919.058ms
Chunk 81 Load: 0.4192ms
Chunk 81 Render: 2940.824ms
Chunk 82 Load: 0.422ms
Chunk 82 Render: 2971.329ms
Chunk 83 Load: 0.451ms
Chunk 83 Render: 3002.803ms
Chunk 84 Load: 0.4172ms
Chunk 84 Render: 3026.78ms
Chunk 85 Load: 0.4034ms
Chunk 85 Render: 3048.655ms
Chunk 86 Load: 0.42ms
Chunk 86 Render: 3067.524ms
Chunk 87 Load: 0.4064ms
Chunk 87 Render: 3089.019ms
Chunk 88 Load: 0.4026ms
Chunk 88 Render: 3113.694ms
Chunk 89 Load: 0.3999ms
Chunk 89 Render: 384.8338ms
Chunk 90 Load: 0.4348ms
Chunk 90 Render: 3161.408ms
Chunk 91 Load: 0.418ms
Chunk 91 Render: 3194.286ms
Chunk 92 Load: 0.4306ms
Chunk 92 Render: 3221.993ms
Chunk 93 Load: 0.409ms
Chunk 93 Render: 3245.209ms
Chunk 94 Load: 0.4208ms
Chunk 94 Render: 3269.454ms
Chunk 95 Load: 0.4176ms
Chunk 95 Render: 3288.534ms
Chunk 96 Load: 0.4287ms
Chunk 96 Render: 3309.39ms
Chunk 97 Load: 0.4057ms
Chunk 97 Render: 3336.683ms
Chunk 98 Load: 0.4483ms
Chunk 98 Render: 3363.411ms
Chunk 99 Load: 0.4375ms
Chunk 99 Render: 3388.224ms
Chunk 100 Load: 0.3934ms
Chunk 100 Render: 3408.691ms
Chunk 101 Load: 0.4245ms
Chunk 101 Render: 3428.375ms
Chunk 102 Load: 0.4165ms
Chunk 102 Render: 3448.573ms
Chunk 103 Load: 0.4276ms
Chunk 103 Render: 3466.845ms
Chunk 104 Load: 0.4168ms
Chunk 104 Render: 387.5054ms
Chunk 105 Load: 0.4052ms
Chunk 105 Render: 3517.028ms
Chunk 106 Load: 0.4273ms
Chunk 106 Render: 3550.699ms
Chunk 107 Load: 0.4185ms
Chunk 107 Render: 3577.572ms
Chunk 108 Load: 0.4169ms
Chunk 108 Render: 3597.099ms
Chunk 109 Load: 0.3891ms
Chunk 109 Render: 3620.621ms
Chunk 110 Load: 0.4642ms
Chunk 110 Render: 3644.906ms
Chunk 111 Load: 0.4076ms
Chunk 111 Render: 3667.599ms
Chunk 112 Load: 0.4125ms
Chunk 112 Render: 3689.731ms
Chunk 113 Load: 0.4044ms
Chunk 113 Render: 3712.817ms
Chunk 114 Load: 0.417ms
Chunk 114 Render: 3736.638ms
Chunk 115 Load: 0.4256ms
Chunk 115 Render: 3760.322ms
Chunk 116 Load: 0.5803ms
Chunk 116 Render: 3782.446ms
Chunk 117 Load: 0.4054ms
Chunk 117 Render: 3803.624ms
Chunk 118 Load: 0.4041ms
Chunk 118 Render: 3822.998ms
Chunk 119 Load: 0.428ms
Chunk 119 Render: 380.1835ms
Chunk 120 Load: 0.4008ms
Chunk 120 Render: 3866.902ms
Chunk 121 Load: 0.4144ms
Chunk 121 Render: 3896.066ms
Chunk 122 Load: 0.4034ms
Chunk 122 Render: 3921.623ms
Chunk 123 Load: 0.4218ms
Chunk 123 Render: 3942.921ms
Chunk 124 Load: 0.4182ms
Chunk 124 Render: 3970.417ms
Chunk 125 Load: 0.4012ms
Chunk 125 Render: 4001.637ms
Chunk 126 Load: 0.4069ms
Chunk 126 Render: 4025.296ms
Chunk 127 Load: 0.3795ms
Chunk 127 Render: 4045.662ms
Chunk 128 Load: 0.4027ms
Chunk 128 Render: 4064.764ms
Chunk 129 Load: 0.3895ms
Chunk 129 Render: 4084.356ms
Chunk 130 Load: 0.4329ms
Chunk 130 Render: 4108.514ms
Chunk 131 Load: 0.4133ms
Chunk 131 Render: 4132.612ms
Chunk 132 Load: 0.4174ms
Chunk 132 Render: 4154.556ms
Chunk 133 Load: 0.4454ms
Chunk 133 Render: 4176.432ms
Chunk 134 Load: 0.4403ms
Chunk 134 Render: 374.3579ms
Chunk 135 Load: 0.4074ms
Chunk 135 Render: 4217.509ms
Chunk 136 Load: 0.4209ms
Chunk 136 Render: 4243.179ms
Chunk 137 Load: 0.4331ms
Chunk 137 Render: 4265.863ms
Chunk 138 Load: 0.4106ms
Chunk 138 Render: 4286.313ms
Chunk 139 Load: 0.5199ms
Chunk 139 Render: 4311.463ms
Chunk 140 Load: 0.4168ms
Chunk 140 Render: 4342.473ms
Chunk 141 Load: 0.4196ms
Chunk 141 Render: 4370.385ms
Chunk 142 Load: 0.3915ms
Chunk 142 Render: 4390.584ms
Chunk 143 Load: 0.4754ms
Chunk 143 Render: 4411.595ms
Chunk 144 Load: 0.4142ms
Chunk 144 Render: 4431.854ms
Chunk 145 Load: 0.4126ms
Chunk 145 Render: 4451.626ms
Chunk 146 Load: 0.4187ms
Chunk 146 Render: 4474.641ms
Chunk 147 Load: 0.393ms
Chunk 147 Render: 4496.727ms
Chunk 148 Load: 0.4201ms
Chunk 148 Render: 4517.465ms
Chunk 149 Load: 0.4176ms
Chunk 149 Render: 363.2979ms
Chunk 150 Load: 0.4037ms
Chunk 150 Render: 4559.101ms
Chunk 151 Load: 0.4084ms
Chunk 151 Render: 4582.817ms
Chunk 152 Load: 0.4076ms
Chunk 152 Render: 4603.058ms
Chunk 153 Load: 0.5283ms
Chunk 153 Render: 4620.088ms
Chunk 154 Load: 0.3862ms
Chunk 154 Render: 4645.834ms
Chunk 155 Load: 0.4067ms
Chunk 155 Render: 4677.426ms
Chunk 156 Load: 0.4127ms
Chunk 156 Render: 4704.732ms
Chunk 157 Load: 0.4117ms
Chunk 157 Render: 4726.96ms
Chunk 158 Load: 0.4038ms
Chunk 158 Render: 4749.553ms
Chunk 159 Load: 0.444ms
Chunk 159 Render: 4772.268ms
Chunk 160 Load: 0.3918ms
Chunk 160 Render: 4794.301ms
Chunk 161 Load: 0.4509ms
Chunk 161 Render: 4815.229ms
Chunk 162 Load: 0.3933ms
Chunk 162 Render: 4836.844ms
Chunk 163 Load: 0.391ms
Chunk 163 Render: 4857.984ms
Chunk 164 Load: 0.406ms
Chunk 164 Render: 362.1642ms
Chunk 165 Load: 0.3905ms
Chunk 165 Render: 4899.699ms
Chunk 166 Load: 0.3946ms
Chunk 166 Render: 4923.391ms
Chunk 167 Load: 0.4183ms
Chunk 167 Render: 4946.629ms
Chunk 168 Load: 0.4008ms
Chunk 168 Render: 4965.497ms
Chunk 169 Load: 0.4023ms
Chunk 169 Render: 4988.498ms
Chunk 170 Load: 0.5587ms
Chunk 170 Render: 5016.339ms
Chunk 171 Load: 0.4257ms
Chunk 171 Render: 5039.775ms
Chunk 172 Load: 0.4547ms
Chunk 172 Render: 5060.282ms
Chunk 173 Load: 0.3907ms
Chunk 173 Render: 5081.204ms
Chunk 174 Load: 0.3919ms
Chunk 174 Render: 5105.661ms
Chunk 175 Load: 0.3963ms
Chunk 175 Render: 5132.334ms
Chunk 176 Load: 0.4111ms
Chunk 176 Render: 5153.81ms
Chunk 177 Load: 0.4413ms
Chunk 177 Render: 5174.162ms
Chunk 178 Load: 0.4315ms
Chunk 178 Render: 5194.782ms
Chunk 179 Load: 0.4364ms
Chunk 179 Render: 361.7677ms
Chunk 180 Load: 0.4277ms
Chunk 180 Render: 5236.304ms
Chunk 181 Load: 0.4169ms
Chunk 181 Render: 5259.581ms
Chunk 182 Load: 0.4364ms
Chunk 182 Render: 5282.643ms
Chunk 183 Load: 0.4311ms
Chunk 183 Render: 5302.255ms
Chunk 184 Load: 0.4426ms
Chunk 184 Render: 5323.893ms
Chunk 185 Load: 0.4524ms
Chunk 185 Render: 5347.992ms
Chunk 186 Load: 0.433ms
Chunk 186 Render: 5370.641ms
Chunk 187 Load: 0.4383ms
Chunk 187 Render: 5389.783ms
Chunk 188 Load: 0.4366ms
Chunk 188 Render: 5410.217ms
Chunk 189 Load: 0.4313ms
Chunk 189 Render: 5432.881ms
Chunk 190 Load: 0.4205ms
Chunk 190 Render: 5455.248ms
Chunk 191 Load: 0.4084ms
Chunk 191 Render: 5480.802ms
Chunk 192 Load: 0.4179ms
Chunk 192 Render: 5504.058ms
Chunk 193 Load: 0.4109ms
Chunk 193 Render: 5526.952ms
Chunk 194 Load: 0.4378ms
Chunk 194 Render: 356.0361ms
Chunk 195 Load: 0.4104ms
Chunk 195 Render: 5569.635ms
Chunk 196 Load: 0.4139ms
Chunk 196 Render: 5594.853ms
Chunk 197 Load: 0.4081ms
Chunk 197 Render: 5618.75ms
Chunk 198 Load: 0.4024ms
Chunk 198 Render: 5638.719ms
Chunk 199 Load: 0.414ms
Chunk 199 Render: 5658.133ms
Chunk 200 Load: 0.4183ms
Chunk 200 Render: 5679.724ms
Chunk 201 Load: 0.4139ms
Chunk 201 Render: 5702.758ms
Chunk 202 Load: 0.4028ms
Chunk 202 Render: 5727.481ms
Chunk 203 Load: 0.3929ms
Chunk 203 Render: 5753.696ms
Chunk 204 Load: 0.4064ms
Chunk 204 Render: 5778.388ms
Chunk 205 Load: 0.396ms
Chunk 205 Render: 5798.804ms
Chunk 206 Load: 0.3935ms
Chunk 206 Render: 5822.75ms
Chunk 207 Load: 0.4087ms
Chunk 207 Render: 5853.165ms
Chunk 208 Load: 0.3913ms
Chunk 208 Render: 5882.89ms
Chunk 209 Load: 0.4028ms
Chunk 209 Render: 385.5123ms
Chunk 210 Load: 0.4172ms
Chunk 210 Render: 43.2466ms
Chunk 211 Load: 0.4195ms
Chunk 211 Render: 41.9063ms
Chunk 212 Load: 0.4122ms
Chunk 212 Render: 37.6009ms
Chunk 213 Load: 0.4896ms
Chunk 213 Render: 37.2387ms
Chunk 214 Load: 0.4146ms
Chunk 214 Render: 37.3049ms
Chunk 215 Load: 0.3978ms
Chunk 215 Render: 39.6371ms
Chunk 216 Load: 0.3871ms
Chunk 216 Render: 44.3027ms
Chunk 217 Load: 0.3789ms
Chunk 217 Render: 47.7327ms
Chunk 218 Load: 0.4298ms
Chunk 218 Render: 45.9995ms
Chunk 219 Load: 0.4308ms
Chunk 219 Render: 41.213ms
Chunk 220 Load: 0.4698ms
Chunk 220 Render: 43.648ms
Chunk 221 Load: 0.4403ms
Chunk 221 Render: 52.7048ms
Chunk 222 Load: 0.4322ms
Chunk 222 Render: 54.7086ms
Chunk 223 Load: 0.4021ms
Chunk 223 Render: 47.3381ms
Chunk 224 Load: 0.4277ms
Chunk 224 Render: 5924.259ms
